Reading parameters:
	 rhs_function=2
	 nx=161
	 ny=161
	 foutput=1000
	 nstep_max=100000
	 tolerance=1e-08
Step 697, Diff=4.83539e-07
Step 698, Diff=4.82956e-07
Step 699, Diff=4.82375e-07
Step 700, Diff=4.81796e-07
Step 701, Diff=4.81217e-07
Step 702, Diff=4.80641e-07
Step 703, Diff=4.80065e-07
Step 704, Diff=4.79492e-07
Step 705, Diff=4.78919e-07
Step 706, Diff=4.78348e-07
Step 707, Diff=4.77779e-07
Step 708, Diff=4.77211e-07
Step 709, Diff=4.76644e-07
Step 710, Diff=4.76079e-07
Step 711, Diff=4.75515e-07
Step 712, Diff=4.74952e-07
Step 713, Diff=4.74391e-07
Step 714, Diff=4.73831e-07
Step 715, Diff=4.73273e-07
Step 716, Diff=4.72716e-07
Step 717, Diff=4.72161e-07
Step 718, Diff=4.71606e-07
Step 719, Diff=4.71054e-07
Step 720, Diff=4.70502e-07
Step 721, Diff=4.69952e-07
Step 722, Diff=4.69403e-07
Step 723, Diff=4.68856e-07
Step 724, Diff=4.6831e-07
Step 725, Diff=4.67765e-07
Step 726, Diff=4.67222e-07
Step 727, Diff=4.6668e-07
Step 728, Diff=4.66139e-07
Step 729, Diff=4.65599e-07
Step 730, Diff=4.65061e-07
Step 731, Diff=4.64524e-07
Step 732, Diff=4.63989e-07
Step 733, Diff=4.63454e-07
Step 734, Diff=4.62922e-07
Step 735, Diff=4.6239e-07
Step 736, Diff=4.61859e-07
Step 737, Diff=4.6133e-07
Step 738, Diff=4.60802e-07
Step 739, Diff=4.60276e-07
Step 740, Diff=4.5975e-07
Step 741, Diff=4.59226e-07
Step 742, Diff=4.58703e-07
Step 743, Diff=4.58182e-07
Step 744, Diff=4.57661e-07
Step 745, Diff=4.57142e-07
Step 746, Diff=4.56624e-07
Step 747, Diff=4.56108e-07
Step 748, Diff=4.55592e-07
Step 749, Diff=4.55078e-07
Step 750, Diff=4.54565e-07
Step 751, Diff=4.54053e-07
Step 752, Diff=4.53543e-07
Step 753, Diff=4.53033e-07
Step 754, Diff=4.52525e-07
Step 755, Diff=4.52018e-07
Step 756, Diff=4.51512e-07
Step 757, Diff=4.51008e-07
Step 758, Diff=4.50504e-07
Step 759, Diff=4.50002e-07
Step 760, Diff=4.49501e-07
Step 761, Diff=4.49001e-07
Step 762, Diff=4.48502e-07
Step 763, Diff=4.48004e-07
Step 764, Diff=4.47508e-07
Step 765, Diff=4.47012e-07
Step 766, Diff=4.46518e-07
Step 767, Diff=4.46025e-07
Step 768, Diff=4.45533e-07
Step 769, Diff=4.45042e-07
Step 770, Diff=4.44553e-07
Step 771, Diff=4.44064e-07
Step 772, Diff=4.43577e-07
Step 773, Diff=4.4309e-07
Step 774, Diff=4.42605e-07
Step 775, Diff=4.42121e-07
Step 776, Diff=4.41638e-07
Step 777, Diff=4.41156e-07
Step 778, Diff=4.40675e-07
Step 779, Diff=4.40196e-07
Step 780, Diff=4.39717e-07
Step 781, Diff=4.3924e-07
Step 782, Diff=4.38763e-07
Step 783, Diff=4.38288e-07
Step 784, Diff=4.37813e-07
Step 785, Diff=4.3734e-07
Step 786, Diff=4.36868e-07
Step 787, Diff=4.36397e-07
Step 788, Diff=4.35927e-07
Step 789, Diff=4.35458e-07
Step 790, Diff=4.3499e-07
Step 791, Diff=4.34523e-07
Step 792, Diff=4.34057e-07
Step 793, Diff=4.33592e-07
Step 794, Diff=4.33129e-07
Step 795, Diff=4.32666e-07
Step 796, Diff=4.32204e-07
Step 797, Diff=4.31744e-07
Step 798, Diff=4.31284e-07
